Student_ID,Gender,Age,Major,Attendance_Pct,Study_Hours_Per_Day,Previous_CGPA,Sleep_Hours,Social_Hours_Week,Final_CGPA,Grade_Category
ID00001,Male,20,Engineering,83.9,4.4,2.65,9.1,8,2.78,Average
ID00002,Female,24,Business,80.7,4.0,3.58,4.0,4,3.76,Excellent
ID00003,Female,20,Mathematics,91.5,3.9,3.29,6.7,4,3.75,Excellent
ID00004,Female,23,Engineering,73.9,8.8,3.48,4.0,6,3.69,Excellent
ID00005,Male,21,Economics,79.8,2.2,2.66,8.7,6,2.34,Poor
ID00006,Male,20,Business,86.8,3.5,2.16,7.0,7,2.41,Poor
ID00007,Male,22,Mathematics,77.5,3.6,2.66,8.7,5,2.69,Average
ID00008,Female,20,Psychology,95.0,4.7,3.44,7.4,4,3.76,Excellent
ID00009,Female,22,Computer Science,100.0,4.3,4.0,5.0,12,4.0,Excellent
ID00010,Female,24,Economics,73.7,4.1,2.89,5.5,3,3.01,Good
ID00011,Male,20,Business,60.0,2.2,4.0,6.8,14,4.0,Excellent
ID00012,Female,22,Computer Science,55.0,4.3,3.51,7.9,4,3.38,Good
ID00013,Female,20,Psychology,82.7,6.0,2.4,7.1,9,2.75,Average
ID00014,Male,24,Engineering,75.1,4.8,3.21,7.3,6,3.2,Good
ID00015,Male,20,Engineering,88.1,2.1,3.53,6.5,10,3.71,Excellent
ID00016,Male,19,Mathematics,87.0,4.5,1.89,8.7,11,2.03,Poor
ID00017,Male,22,Business,61.0,4.3,3.42,7.2,8,3.36,Good
ID00018,Male,24,Business,57.8,3.4,3.69,7.1,14,3.31,Good
ID00019,Male,22,Mathematics,89.4,4.8,3.3,7.4,8,3.75,Excellent
ID00020,Male,22,Computer Science,87.0,2.9,3.07,6.4,11,3.41,Good
ID00021,Female,18,Engineering,78.6,6.2,3.01,6.5,7,3.11,Good
ID00022,Male,24,Engineering,60.1,11.0,2.98,7.7,7,3.26,Good
ID00023,Male,20,Business,92.1,6.5,2.51,8.2,8,2.93,Average
ID00024,Male,22,Business,100.0,2.6,2.76,8.3,6,2.79,Average
ID00025,Male,23,Mathematics,89.2,6.0,2.89,6.7,4,3.2,Good
ID00026,Female,18,Psychology,72.3,6.8,3.16,7.2,12,3.3,Good
ID00027,Male,19,Computer Science,85.7,5.2,2.82,6.1,9,3.26,Good
ID00028,Male,22,Economics,64.5,5.6,2.67,8.2,5,2.79,Average
ID00029,Female,22,Psychology,100.0,4.0,3.48,5.6,9,3.8,Excellent
ID00030,Male,18,Psychology,86.2,1.9,3.29,7.3,7,3.49,Good
ID00031,Female,20,Business,58.5,3.9,2.83,8.3,6,2.54,Average
ID00032,Male,23,Business,80.5,2.3,3.35,7.2,7,3.5,Excellent
ID00033,Male,19,Business,91.9,3.7,2.87,7.5,8,3.2,Good
ID00034,Female,22,Psychology,80.0,3.0,3.13,6.6,10,3.48,Good
ID00035,Female,20,Computer Science,80.9,2.2,3.59,4.2,10,3.85,Excellent
ID00036,Female,24,Business,66.6,8.6,2.8,6.0,7,2.91,Average
ID00037,Male,23,Engineering,93.5,4.2,2.51,7.1,7,2.71,Average
ID00038,Male,24,Computer Science,75.3,3.1,3.03,6.0,4,2.86,Average
ID00039,Female,23,Engineering,52.7,1.4,2.42,7.7,7,2.06,Poor
ID00040,Male,19,Computer Science,79.4,6.6,2.96,4.8,4,3.07,Good
ID00041,Male,21,Business,99.7,4.8,2.96,4.1,10,3.05,Good
ID00042,Male,23,Economics,79.2,11.9,1.87,8.0,9,2.38,Poor
ID00043,Male,21,Mathematics,100.0,2.7,3.37,6.5,7,3.76,Excellent
ID00044,Female,24,Business,91.4,8.2,3.01,7.5,10,3.42,Good
ID00045,Male,23,Psychology,90.1,3.9,3.69,6.2,4,3.97,Excellent
ID00046,Female,19,Economics,83.1,2.4,3.21,7.8,8,3.62,Excellent
ID00047,Male,18,Psychology,84.0,3.3,3.47,9.0,8,3.76,Excellent
ID00048,Male,19,Computer Science,81.0,4.5,3.7,9.1,5,3.9,Excellent
ID00049,Male,19,Psychology,80.5,3.1,3.03,6.0,7,3.43,Good
ID00050,Male,18,Economics,93.0,2.0,3.1,6.4,9,3.5,Excellent
ID00051,Female,18,Economics,71.0,2.4,2.31,7.3,6,2.2,Poor
ID00052,Female,20,Business,68.9,5.7,3.72,9.8,12,3.83,Excellent
ID00053,Female,23,Engineering,68.2,2.2,3.03,5.3,10,2.73,Average
ID00054,Female,24,Business,100.0,2.9,2.6,5.3,11,2.62,Average
ID00055,Female,20,Computer Science,93.0,2.2,3.47,8.3,7,3.66,Excellent
ID00056,Female,18,Psychology,89.6,4.9,2.01,6.0,7,2.4,Poor
ID00057,Male,21,Engineering,69.1,14.0,2.89,8.0,7,3.56,Excellent
ID00058,Male,24,Mathematics,94.4,5.6,3.55,6.1,9,4.0,Excellent
ID00059,Male,21,Economics,83.3,2.6,2.88,7.5,5,3.07,Good
ID00060,Male,19,Engineering,88.2,4.9,2.74,6.2,8,3.14,Good
ID00061,Male,22,Engineering,70.4,2.7,2.89,5.5,9,2.88,Average
ID00062,Male,19,Business,87.4,4.7,2.1,7.2,2,2.39,Poor
ID00063,Female,19,Mathematics,78.6,9.1,3.46,5.2,8,3.61,Excellent
ID00064,Male,22,Economics,73.5,4.1,3.04,7.7,4,2.92,Average
ID00065,Male,23,Computer Science,96.0,5.1,2.96,6.6,16,2.92,Average
ID00066,Male,18,Computer Science,61.9,4.2,2.97,5.0,6,2.97,Average
ID00067,Male,21,Engineering,93.5,7.0,3.11,7.4,13,3.61,Excellent
ID00068,Female,19,Engineering,95.3,6.1,3.43,7.4,7,3.75,Excellent
ID00069,Male,22,Psychology,71.8,3.4,3.07,4.0,6,2.79,Average
ID00070,Female,20,Mathematics,72.7,6.1,2.42,6.9,6,2.44,Poor
ID00071,Female,19,Economics,81.7,4.7,3.39,7.0,2,3.87,Excellent
ID00072,Male,21,Engineering,89.2,3.2,3.35,7.1,9,3.5,Excellent
ID00073,Male,18,Psychology,82.7,3.3,3.2,4.3,5,3.38,Good
ID00074,Female,19,Mathematics,91.5,4.6,3.64,7.5,4,3.92,Excellent
ID00075,Female,19,Economics,100.0,5.1,3.12,7.8,6,3.54,Excellent
ID00076,Female,23,Computer Science,77.4,3.8,3.66,5.6,9,3.6,Excellent
ID00077,Female,22,Psychology,59.3,5.1,3.8,4.9,4,3.7,Excellent
ID00078,Male,20,Mathematics,97.4,2.6,3.39,5.5,5,3.68,Excellent
ID00079,Male,20,Psychology,100.0,2.1,2.73,7.2,7,3.16,Good
ID00080,Male,24,Engineering,90.9,1.5,3.03,5.1,6,3.19,Good
ID00081,Female,18,Business,68.7,5.6,3.72,5.0,6,3.85,Excellent
ID00082,Female,24,Computer Science,83.1,1.5,2.35,10.0,17,2.33,Poor
ID00083,Male,21,Engineering,68.2,5.1,2.9,7.0,6,2.82,Average
ID00084,Male,18,Engineering,94.6,3.1,2.93,6.5,13,3.4,Good
ID00085,Male,19,Mathematics,64.7,3.5,2.67,6.0,6,2.58,Average
ID00086,Male,19,Psychology,80.5,3.5,3.54,6.4,8,3.95,Excellent
ID00087,Female,20,Computer Science,69.9,13.7,3.29,9.7,10,3.83,Excellent
ID00088,Female,21,Engineering,86.9,2.9,2.74,8.2,6,2.78,Average
ID00089,Female,22,Mathematics,79.5,2.3,3.4,10.0,12,3.45,Good
ID00090,Male,21,Computer Science,87.7,10.7,3.02,7.6,9,3.88,Excellent
ID00091,Male,19,Psychology,85.3,1.7,2.65,5.6,8,2.85,Average
ID00092,Female,22,Engineering,70.2,1.9,2.74,7.4,1,2.55,Average
ID00093,Female,21,Economics,94.4,6.7,3.32,7.8,6,3.83,Excellent
ID00094,Female,21,Engineering,84.3,5.2,3.57,7.9,2,3.92,Excellent
ID00095,Female,22,Engineering,70.2,3.3,2.86,6.3,12,3.05,Good
ID00096,Male,19,Computer Science,100.0,2.2,3.37,9.7,10,3.49,Good
ID00097,Male,21,Computer Science,92.1,1.0,3.89,5.1,8,4.0,Excellent
ID00098,Male,22,Computer Science,82.7,9.4,2.47,7.5,10,3.14,Good
ID00099,Male,23,Computer Science,100.0,6.1,3.28,6.6,5,3.64,Excellent
ID00100,Male,23,Mathematics,100.0,8.9,3.52,5.8,9,4.0,Excellent
ID00101,Male,19,Business,82.8,7.4,3.05,7.4,10,3.53,Excellent
ID00102,Female,22,Mathematics,90.2,5.4,3.72,8.9,8,3.99,Excellent
ID00103,Male,23,Engineering,70.2,2.9,4.0,7.6,16,3.84,Excellent
ID00104,Male,22,Mathematics,82.8,2.2,3.27,7.4,6,3.39,Good
ID00105,Female,21,Psychology,82.0,7.8,2.98,4.0,9,3.38,Good
ID00106,Male,19,Economics,87.8,3.1,3.59,8.4,8,3.6,Excellent
ID00107,Male,23,Computer Science,90.0,2.2,3.52,6.4,11,3.68,Excellent
ID00108,Female,24,Psychology,93.4,2.7,1.84,7.8,7,2.17,Poor
ID00109,Male,21,Economics,88.6,8.1,3.1,8.4,11,3.39,Good
ID00110,Male,24,Psychology,66.8,2.4,2.9,7.3,15,2.78,Average
ID00111,Male,24,Engineering,70.9,3.3,3.3,4.0,11,3.37,Good
ID00112,Male,18,Computer Science,76.8,3.9,3.0,9.1,5,3.02,Good
ID00113,Female,18,Psychology,80.8,4.7,3.06,9.7,8,3.17,Good
ID00114,Female,19,Engineering,100.0,2.3,2.67,8.2,9,3.03,Good
ID00115,Female,23,Computer Science,67.6,3.8,3.47,5.9,6,3.59,Excellent
ID00116,Female,23,Business,79.6,6.8,3.93,8.8,8,3.88,Excellent
ID00117,Female,23,Engineering,99.3,11.9,2.68,6.6,12,3.59,Excellent
ID00118,Male,22,Mathematics,80.5,2.0,2.4,6.9,5,2.67,Average
ID00119,Female,21,Computer Science,91.9,2.2,3.11,8.8,5,3.44,Good
ID00120,Male,23,Psychology,82.9,2.4,3.09,8.0,6,3.55,Excellent
ID00121,Female,21,Economics,88.9,5.9,3.69,4.0,9,4.0,Excellent
ID00122,Female,19,Psychology,81.6,2.1,2.49,7.3,8,2.66,Average
ID00123,Male,24,Mathematics,95.0,3.7,2.83,8.8,8,3.23,Good
ID00124,Male,23,Mathematics,61.8,3.5,2.03,5.0,6,1.98,Poor
